"age"  "type_employer"  "education"  "marital"  "occupation"  "relationship"  "race"  "sex"  "capital_gain"  "capital_loss"  "hr_per_week"  "income"
35  " Self-emp-not-inc"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
32  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Unmarried"  " Amer-Indian-Eskimo"  " Female"  "None"  "None"  40  "low"
51  " Local-gov"  " HS-grad"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " White"  " Female"  "None"  "None"  32  "low"
59  " Private"  " Some-college"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
31  " Local-gov"  " HS-grad"  " Never-married"  " Transport-moving"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
27  " Local-gov"  " Bachelors"  " Never-married"  " Tech-support"  " Not-in-family"  " White"  " Male"  "None"  "None"  50  "low"
57  " Private"  " Assoc-acdm"  " Widowed"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  35  "low"
40  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " HS-grad"  " Divorced"  " Machine-op-inspct"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
23  " Private"  " 7th-8th"  " Never-married"  " Machine-op-inspct"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
42  " Private"  " HS-grad"  " Separated"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  35  "low"
60  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
53  " Local-gov"  " Masters"  " Never-married"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "High"  "None"  50  "high"
27  " Private"  " HS-grad"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  45  "low"
29  " State-gov"  " Bachelors"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
22  " Private"  " Bachelors"  " Never-married"  " Farming-fishing"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
42  " Private"  " Bachelors"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "Low"  38  "high"
63  " Self-emp-inc"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "High"  "None"  50  "high"
28  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
79  " Private"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  20  "low"
39  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "Low"  "None"  40  "high"
29  " Private"  " 12th"  " Never-married"  " Other-service"  " Not-in-family"  " Other"  " Male"  "None"  "None"  40  "low"
60  " Private"  " 7th-8th"  " Divorced"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
58  " Private"  " 12th"  " Married-civ-spouse"  " Other-service"  " Wife"  " White"  " Female"  "None"  "None"  24  "low"
20  " Private"  " Assoc-acdm"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "High"  18  "low"
44  " Private"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  65  "high"
47  " Private"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  48  "low"
59  " Private"  " HS-grad"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  24  "high"
37  " Private"  " Masters"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  65  "low"
21  " Private"  " HS-grad"  " Separated"  " Machine-op-inspct"  " Other-relative"  " White"  " Male"  "None"  "None"  40  "low"
68  " Private"  " Assoc-voc"  " Widowed"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
43  " Private"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "Low"  "None"  40  "low"
23  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Unmarried"  " White"  " Female"  "None"  "None"  33  "low"
40  " Local-gov"  " Masters"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "Low"  35  "low"
45  " Self-emp-not-inc"  " Some-college"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  35  "low"
22  " Private"  " Some-college"  " Never-married"  " Tech-support"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
38  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
24  " Private"  " Some-college"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  49  "low"
23  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Wife"  " White"  " Female"  "None"  "None"  40  "low"
39  " Federal-gov"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Other-relative"  " White"  " Male"  "None"  "None"  45  "high"
26  " Private"  " Some-college"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
24  " Private"  " HS-grad"  " Never-married"  " Handlers-cleaners"  " Unmarried"  " White"  " Male"  "None"  "None"  40  "low"
22  " Private"  " Some-college"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Male"  "None"  "None"  25  "low"
36  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  55  "low"
20  " Private"  " Some-college"  " Never-married"  " Priv-house-serv"  " Own-child"  " White"  " Female"  "None"  "None"  20  "low"
18  " Private"  " 11th"  " Never-married"  " Other-service"  " Own-child"  " Black"  " Male"  "None"  "None"  8  "low"
38  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
43  " Self-emp-inc"  " Bachelors"  " Divorced"  " Farming-fishing"  " Not-in-family"  " White"  " Male"  "None"  "None"  35  "low"
42  " Private"  " Masters"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
35  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
31  " Private"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  45  "low"
73  " Private"  " 1st-4th"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "Low"  20  "low"
32  " Private"  " Some-college"  " Divorced"  " Exec-managerial"  " Unmarried"  " White"  " Female"  "None"  "None"  42  "low"
37  " Private"  " Masters"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "High"  "None"  45  "high"
66  " Private"  " HS-grad"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  10  "low"
22  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "None"  35  "low"
51  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Male"  "None"  "None"  35  "low"
65  " Private"  " HS-grad"  " Divorced"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "High"  59  "low"
39  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Wife"  " Black"  " Female"  "None"  "None"  45  "low"
48  " Private"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  37  "low"
20  " Private"  " Some-college"  " Never-married"  " Other-service"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
48  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "Low"  "None"  50  "high"
29  " Federal-gov"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  80  "low"
35  " Self-emp-inc"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  45  "high"
31  " Private"  " Some-college"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
48  " State-gov"  " HS-grad"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
36  " Private"  " Assoc-voc"  " Never-married"  " Tech-support"  " Not-in-family"  " White"  " Male"  "None"  "None"  45  "low"
40  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Farming-fishing"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
57  " Private"  " HS-grad"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  15  "low"
26  " Local-gov"  " Bachelors"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "Low"  "None"  35  "low"
37  " State-gov"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
65  " Private"  " Doctorate"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
26  " Self-emp-not-inc"  " 10th"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  32  "low"
42  " Private"  " Some-college"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
47  " Private"  " Masters"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
62  " Private"  " 7th-8th"  " Divorced"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
27  " Private"  " Assoc-voc"  " Never-married"  " Exec-managerial"  " Own-child"  " White"  " Male"  "None"  "None"  50  "low"
76  " Self-emp-not-inc"  " Some-college"  " Widowed"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  8  "low"
29  " Private"  " Bachelors"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
29  " Private"  " 12th"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
32  " Private"  " 10th"  " Never-married"  " Machine-op-inspct"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
22  " Self-emp-inc"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
30  " Federal-gov"  " HS-grad"  " Never-married"  " Adm-clerical"  " Not-in-family"  " Black"  " Female"  "None"  "None"  50  "low"
43  " Local-gov"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
23  " Private"  " Bachelors"  " Married-civ-spouse"  " Other-service"  " Husband"  " White"  " Male"  "None"  "None"  20  "low"
44  " Federal-gov"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
41  " Private"  " Bachelors"  " Divorced"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
49  " State-gov"  " Masters"  " Divorced"  " Prof-specialty"  " Unmarried"  " Black"  " Female"  "High"  "None"  40  "high"
30  " Private"  " HS-grad"  " Never-married"  " Transport-moving"  " Not-in-family"  " White"  " Male"  "None"  "None"  45  "high"
23  " Private"  " Some-college"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Male"  "None"  "None"  35  "low"
39  " Private"  " HS-grad"  " Widowed"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
32  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  60  "high"
50  " Private"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "Low"  35  "high"
19  " Private"  " Some-college"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
35  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  52  "high"
23  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
25  " Private"  " Some-college"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
40  " Private"  " HS-grad"  " Divorced"  " Sales"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
30  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " Black"  " Male"  "None"  "None"  42  "high"
52  " Private"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
49  " Private"  " Some-college"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " Black"  " Male"  "None"  "None"  60  "low"
24  " Private"  " Bachelors"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
46  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "High"  "None"  40  "high"
39  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
45  " Self-emp-not-inc"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
62  " Local-gov"  " Bachelors"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "Low"  38  "low"
43  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "High"  50  "high"
45  " Private"  " Some-college"  " Divorced"  " Machine-op-inspct"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
62  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
48  " Private"  " 5th-6th"  " Never-married"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
56  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Unmarried"  " Black"  " Female"  "None"  "None"  40  "low"
28  " Private"  " HS-grad"  " Never-married"  " Farming-fishing"  " Unmarried"  " White"  " Female"  "None"  "None"  35  "low"
23  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " Black"  " Male"  "None"  "None"  40  "low"
43  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Not-in-family"  " White"  " Female"  "None"  "None"  35  "low"
26  " Private"  " Bachelors"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
36  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
55  " Local-gov"  " Doctorate"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  60  "low"
48  " State-gov"  " Bachelors"  " Never-married"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "None"  "None"  50  "low"
38  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  45  "high"
18  " Private"  " HS-grad"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  30  "low"
56  " Self-emp-not-inc"  " HS-grad"  " Married-spouse-absent"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  70  "low"
39  " Self-emp-not-inc"  " Masters"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
46  " Private"  " 5th-6th"  " Separated"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  50  "low"
36  " Private"  " 11th"  " Never-married"  " Transport-moving"  " Unmarried"  " Amer-Indian-Eskimo"  " Male"  "None"  "None"  65  "low"
42  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "High"  40  "low"
50  " Private"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
17  " Private"  " 11th"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Male"  "None"  "None"  20  "low"
57  " Private"  " 7th-8th"  " Widowed"  " Machine-op-inspct"  " Unmarried"  " Black"  " Female"  "None"  "None"  40  "low"
73  " Private"  " HS-grad"  " Widowed"  " Other-service"  " Other-relative"  " White"  " Female"  "None"  "None"  12  "low"
50  " Federal-gov"  " Some-college"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
35  " Private"  " Some-college"  " Never-married"  " Transport-moving"  " Own-child"  " White"  " Male"  "None"  "None"  45  "low"
27  " Private"  " Some-college"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  45  "low"
27  " Private"  " Some-college"  " Never-married"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
23  " Self-emp-not-inc"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
25  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
51  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
26  " Private"  " 10th"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  40  "low"
47  " Private"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  45  "low"
40  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Not-in-family"  " Black"  " Male"  "None"  "None"  40  "low"
58  " Private"  " 9th"  " Divorced"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
25  " Private"  " Some-college"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
29  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Wife"  " White"  " Female"  "None"  "None"  18  "low"
36  " Private"  " 11th"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "None"  43  "low"
46  " Private"  " HS-grad"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "None"  "None"  60  "low"
69  " Private"  " 1st-4th"  " Widowed"  " Priv-house-serv"  " Not-in-family"  " Black"  " Female"  "None"  "None"  4  "low"
69  " Private"  " HS-grad"  " Widowed"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "Low"  "None"  40  "low"
28  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " Black"  " Female"  "None"  "None"  40  "low"
20  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Male"  "None"  "None"  48  "low"
54  " State-gov"  " HS-grad"  " Separated"  " Adm-clerical"  " Unmarried"  " Black"  " Female"  "Low"  "None"  35  "low"
25  " Private"  " Some-college"  " Never-married"  " Transport-moving"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
64  " Local-gov"  " HS-grad"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "Low"  "None"  40  "low"
17  " Private"  " HS-grad"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  20  "low"
53  " Federal-gov"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
50  " Private"  " 9th"  " Divorced"  " Transport-moving"  " Not-in-family"  " White"  " Male"  "None"  "None"  50  "low"
57  " Private"  " HS-grad"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " White"  " Female"  "None"  "None"  38  "low"
51  " Private"  " Some-college"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " White"  " Male"  "None"  "High"  40  "low"
47  " Private"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
25  " Private"  " HS-grad"  " Never-married"  " Transport-moving"  " Unmarried"  " White"  " Male"  "None"  "None"  52  "low"
50  " State-gov"  " Prof-school"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  52  "high"
20  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  30  "low"
43  " State-gov"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "High"  70  "high"
46  " Private"  " Bachelors"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
54  " Private"  " HS-grad"  " Separated"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  38  "low"
53  " Private"  " Some-college"  " Separated"  " Exec-managerial"  " Unmarried"  " Amer-Indian-Eskimo"  " Female"  "None"  "None"  15  "low"
21  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  30  "low"
58  " Private"  " Some-college"  " Divorced"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
30  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  55  "high"
61  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " Black"  " Female"  "None"  "None"  40  "low"
56  " State-gov"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  35  "low"
59  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
72  " Private"  " HS-grad"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  20  "low"
33  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
46  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  40  "high"
46  " Local-gov"  " Some-college"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  38  "high"
48  " Private"  " HS-grad"  " Never-married"  " Prof-specialty"  " Unmarried"  " Black"  " Female"  "None"  "None"  28  "low"
33  " Private"  " HS-grad"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
21  " Private"  " Some-college"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
27  " Private"  " HS-grad"  " Divorced"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  45  "low"
31  " Private"  " HS-grad"  " Divorced"  " Transport-moving"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
28  " Private"  " Bachelors"  " Never-married"  " Machine-op-inspct"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
45  " Local-gov"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  38  "low"
51  " Private"  " HS-grad"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "Low"  "None"  40  "high"
46  " State-gov"  " HS-grad"  " Never-married"  " Other-service"  " Not-in-family"  " Black"  " Female"  "None"  "None"  40  "low"
25  " Private"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  25  "low"
61  " Private"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "High"  "None"  40  "high"
17  " Private"  " 11th"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  30  "low"
26  " Private"  " Bachelors"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "Low"  "None"  40  "low"
35  " Private"  " 10th"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  60  "low"
33  " Self-emp-not-inc"  " 11th"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  70  "low"
39  " Local-gov"  " HS-grad"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "None"  35  "low"
42  " Private"  " HS-grad"  " Divorced"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  30  "low"
35  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "Low"  "None"  47  "high"
45  " Private"  " HS-grad"  " Divorced"  " Tech-support"  " Not-in-family"  " White"  " Female"  "None"  "None"  50  "high"
47  " Self-emp-inc"  " Bachelors"  " Never-married"  " Sales"  " Own-child"  " White"  " Male"  "None"  "None"  40  "high"
64  " Private"  " 11th"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  48  "low"
39  " Private"  " Prof-school"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " White"  " Female"  "High"  "None"  47  "high"
62  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "Low"  "None"  40  "high"
53  " Private"  " Some-college"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "High"  "None"  40  "high"
31  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
26  " Private"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
56  " Self-emp-inc"  " 7th-8th"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
43  " Private"  " Some-college"  " Never-married"  " Other-service"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
33  " Private"  " Some-college"  " Never-married"  " Sales"  " Not-in-family"  " Black"  " Male"  "None"  "None"  35  "low"
45  " Self-emp-not-inc"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "Low"  40  "high"
46  " Private"  " Some-college"  " Separated"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  55  "low"
26  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  80  "low"
24  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
43  " Private"  " Bachelors"  " Married-civ-spouse"  " Farming-fishing"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
40  " Private"  " Assoc-voc"  " Never-married"  " Machine-op-inspct"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
61  " Private"  " 7th-8th"  " Divorced"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "None"  35  "low"
34  " Federal-gov"  " Some-college"  " Never-married"  " Adm-clerical"  " Not-in-family"  " Black"  " Female"  "None"  "None"  72  "low"
85  " Private"  " HS-grad"  " Widowed"  " Sales"  " Unmarried"  " White"  " Male"  "None"  "None"  35  "low"
41  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
